OrganizationFormalName,ActivityStartDate,ProjectName,MonitoringLocationName,Latitude,Logitude,ResultIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnit,AnalyticalMethod
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,Mouth Site 0048,47.2313,-122.111,STORET-279140787,Copper,3.10000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513385653,Iron,0.19700,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513388837,Iron,0.24800,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387937,Lead,0.00000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),11/6/2013,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-598756310,Arsenic,0.00173,mg/L,6020
Muckleshoot Indian Tribe (Tribal),5/29/2013,White River Water Quality Monitoring Project,Mouth Site 0048,47.2313,-122.111,STORET-279140426,Copper,8.80000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,Mouth Site 0048,47.2313,-122.111,STORET-279140767,Zinc,0.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513388385,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279144502,Copper,1.80000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513386240,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,408 Site 0048,47.2359,-122.101,STORET-279139620,Copper,6.60000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513389304,Iron,0.27700,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279142785,Zinc,0.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385395,Copper,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),1/28/2013,Water Quality Monitoring,Georgetown Gas,46.72,-124.02,STORET-281294977,Copper,8.90000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513386229,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513383589,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513389313,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513383568,Copper,0.00000,mg/L,200.8
